"food_items","nutritional_values","health_benefits","disease","symptoms"
"Apple","Carbohydrates: 20g, Fiber: 4g, Vit C: 10mg","Boosts immunity, Aids digestion","Diabetes","High blood sugar, Fatigue, Blurred vision"
"Brown Rice","Carbohydrates: 40g, Fiber: 2g, Vit B: 10mg","Lowers cholesterol, Aids weight loss","High Cholesterol","Fatigue, Shortness of breath, Chest pain"
"Chicken Breast","Protein: 30g, Fat: 3g, Vit B6: 10mg","Builds muscle, Aids weight loss","Malaria","Fever, Chills, Flu-like symptoms, Nausea"
"Spinach","Vit A: 2000 IU, Vit K: 100mcg, Iron: 2mg","Boosts immunity, Aids eye health","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath"
"Oatmeal","Carbohydrates: 30g, Fiber: 4g, Vit B: 10mg","Lowers cholesterol, Aids digestion","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue"
"Salmon","Protein: 35g, Fat: 10g, Omega-3: 1000mg","Reduces inflammation, Aids heart health","Heart Disease","Chest pain, Shortness of breath, Fatigue, Palpitations"
"Yogurt","Protein: 20g, Calcium: 300mg, Vit D: 10mcg","Aids digestion, Boosts immunity","Dengue","Fever, Headache, Muscle pain, Rash"
"Banana","Carbohydrates: 25g, Potassium: 400mg, Vit C: 10mg","Aids digestion, Boosts energy","Fever","Headache, Fatigue, Sweating, Chills"
"Almonds","Protein: 6g, Fat: 14g, Vit E: 10mg","Aids heart health, Boosts energy","High Cholesterol","Fatigue, Shortness of breath, Chest pain, Palpitations"
"Carrots","Vit A: 1000 IU, Vit K: 20mcg, Fiber: 2g","Aids eye health, Boosts immunity","Jondis","Joint pain, Fatigue, Swelling, Redness"
"Green Tea","Antioxidants: 100mg, Caffeine: 20mg, Vit C: 10mg","Aids weight loss, Boosts immunity","Common Cold","Runny nose, Sore throat, Fatigue, Cough"
"Sweet Potato","Carbohydrates: 25g, Fiber: 4g, Vit A: 2000 IU","Aids digestion, Boosts immunity","Diabetes","High blood sugar, Fatigue, Blurred vision, Slow healing"
"Avocado","Fat: 10g, Fiber: 7g, Vit C: 10mg","Aids heart health, Boosts energy","High Cholesterol","Fatigue, Shortness of breath, Chest pain, Palpitations"
"Turkey Breast","Protein: 30g, Fat: 3g, Vit B6: 10mg","Builds muscle, Aids weight loss","Malaria","Fever, Chills, Flu-like symptoms, Nausea, Diarrhea"
"Broccoli","Vit C: 100mg, Vit K: 100mcg, Fiber: 2g","Aids immunity, Aids eye health","Cancer","Fatigue, Weight loss, Pain, Lumps"
"Quinoa","Protein: 8g, Fiber: 5g, Iron: 2mg","Aids digestion, Boosts energy","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Pineapple","Vit C: 100mg, Manganese: 1mg, Fiber: 2g","Aids immunity, Aids digestion","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
"Spinach Juice","Vit A: 2000 IU, Vit K: 100mcg, Iron: 2mg","Boosts immunity, Aids eye health","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Garlic","Vit C: 10mg, Vit B6: 10mg, Fiber: 2g","Aids immunity, Aids heart health","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Ginger","Vit C: 10mg, Magnesium: 10mg, Fiber: 2g","Aids digestion, Aids immunity","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
"Turmeric","Curcumin: 100mg, Vit C: 10mg, Fiber: 2g","Aids immunity, Aids inflammation","Arthritis","Joint pain, Fatigue, Swelling, Redness, Stiffness"
"Cinnamon","Vit C: 10mg, Manganese: 1mg, Fiber: 2g","Aids digestion, Aids heart health","High Blood Sugar","Fatigue, Blurred vision, Slow healing, Frequent urination"
"Beets","Vit C: 10mg, Potassium: 400mg, Fiber: 2g","Aids heart health, Aids digestion","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Kale","Vit A: 2000 IU, Vit K: 100mcg, Fiber: 2g","Aids eye health, Boosts immunity","Cancer","Fatigue, Weight loss, Pain, Lumps, Skin changes"
"Quinoa Salad","Protein: 8g, Fiber: 5g, Iron: 2mg","Aids digestion, Boosts energy","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Sweet Potato Fries","Carbohydrates: 25g, Fiber: 4g, Vit A: 2000 IU","Aids digestion, Boosts immunity","Diabetes","High blood sugar, Fatigue, Blurred vision, Slow healing"
"Almond Milk","Protein: 1g, Fat: 3g, Vit E: 10mg","Aids heart health, Boosts energy","High Cholesterol","Fatigue, Shortness of breath, Chest pain, Palpitations"
